status,value,system_cost,co2_emissions,main mean demand,main energy weighted price,ev1 mean demand,ev1 energy weighted price,ev2 mean demand,ev2 energy weighted price,price closure,scenario,demand series,demand_ev1 series,demand_ev2 series,lost_load dispatch,main_node_curtailment dispatch,fossgas capacity,fossgas dispatch,solar series,solar capacity,wind series,wind capacity,storage_ev1 capacity,storage_ev1 dispatch,storage_ev1 stored,storage_ev2 capacity,storage_ev2 dispatch,storage_ev2 stored,storage capacity,storage dispatch,storage stored,transfer capacity,transfer dispatch,fossgas curtailment,ev demand,total demand,ev load fraction
optimal,303.9091743,0.035,4049.404878,1,0.034598039,9.00E-11,0,1.00E-11,0.032995158,-6.93E-11,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p1\Looping_Gas_evLoad0p0_pctEVLoad20p1_20220317-233429.xlsx,1,9.00E-11,1.00E-11,4.72E-06,0,1.332711031,0.999995278,0.120154076,0,0.272143623,0,2.00E-08,9.00E-11,0,2.22E-09,2.22E-09,0,0,0,0,0,2.21E-09,0.332715753,1.80E-10,1,1.80E-10
optimal,303.9091737,0.035,4049.404869,1,0.034598039,8.00E-11,0,2.00E-11,0.032995158,-1.39E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p2\Looping_Gas_evLoad0p0_pctEVLoad20p2_20220317-233730.xlsx,1,8.00E-11,2.00E-11,4.72E-06,0,1.332711029,0.999995276,0.120154076,0,0.272143623,0,1.78E-08,8.00E-11,0,4.45E-09,4.45E-09,0,0,0,0,0,4.43E-09,0.332715753,1.60E-10,1,1.60E-10
optimal,303.9091731,0.035,4049.404861,1,0.034598039,7.00E-11,0,3.00E-11,0.032995158,-2.08E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p3\Looping_Gas_evLoad0p0_pctEVLoad20p3_20220317-234029.xlsx,1,7.00E-11,3.00E-11,4.72E-06,0,1.332711027,0.999995274,0.120154076,0,0.272143623,0,1.56E-08,7.00E-11,0,6.67E-09,6.67E-09,0,0,0,0,0,6.64E-09,0.332715753,1.40E-10,1,1.40E-10
optimal,303.9091725,0.035,4049.404852,1,0.034598039,6.00E-11,0,4.00E-11,0.032995158,-2.77E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p4\Looping_Gas_evLoad0p0_pctEVLoad20p4_20220317-234332.xlsx,1,6.00E-11,4.00E-11,4.72E-06,0,1.332711024,0.999995271,0.120154076,0,0.272143623,0,1.33E-08,6.00E-11,0,8.89E-09,8.89E-09,0,0,0,0,0,8.85E-09,0.332715753,1.20E-10,1,1.20E-10
optimal,303.9091719,0.035,4049.404843,1,0.034598039,5.00E-11,0,5.00E-11,0.032995158,-3.46E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p5\Looping_Gas_evLoad0p0_pctEVLoad20p5_20220317-234633.xlsx,1,5.00E-11,5.00E-11,4.72E-06,0,1.332711022,0.999995269,0.120154076,0,0.272143623,0,1.11E-08,5.00E-11,0,1.11E-08,1.11E-08,0,0,0,0,0,1.11E-08,0.332715753,1.00E-10,1,1.00E-10
optimal,303.9091713,0.035,4049.404834,1,0.034598039,4.00E-11,0,6.00E-11,0.032995158,-4.16E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p6\Looping_Gas_evLoad0p0_pctEVLoad20p6_20220317-234944.xlsx,1,4.00E-11,6.00E-11,4.72E-06,0,1.33271102,0.999995267,0.120154076,0,0.272143623,0,8.89E-09,4.00E-11,0,1.33E-08,1.33E-08,0,0,0,0,0,1.33E-08,0.332715753,8.00E-11,1,8.00E-11
optimal,303.9091707,0.035,4049.404825,1,0.034598039,3.00E-11,0,7.00E-11,0.032995158,-4.85E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p7\Looping_Gas_evLoad0p0_pctEVLoad20p7_20220317-235252.xlsx,1,3.00E-11,7.00E-11,4.72E-06,0,1.332711018,0.999995265,0.120154076,0,0.272143623,0,6.67E-09,3.00E-11,0,1.56E-08,1.56E-08,0,0,0,0,0,1.55E-08,0.332715753,6.00E-11,1,6.00E-11
optimal,303.90917,0.035,4049.404816,1,0.034598039,2.00E-11,0,8.00E-11,0.032995158,-5.54E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p8\Looping_Gas_evLoad0p0_pctEVLoad20p8_20220317-235550.xlsx,1,2.00E-11,8.00E-11,4.72E-06,0,1.332711016,0.999995262,0.120154076,0,0.272143623,0,4.45E-09,2.00E-11,0,1.78E-08,1.78E-08,0,0,0,0,0,1.77E-08,0.332715753,4.00E-11,1,4.00E-11
optimal,303.9091688,0.035,4049.404798,1,0.034598039,1.00E-13,0,9.99E-11,0.032995158,-6.92E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p999\Looping_Gas_evLoad0p0_pctEVLoad20p999_20220318-000153.xlsx,1,1.00E-13,9.99E-11,4.72E-06,0,1.332711011,0.999995258,0.120154076,0,0.272143623,0,2.22E-11,8.21E-14,0,2.22E-08,2.22E-08,0,0,0,0,0,2.21E-08,0.332715753,2.00E-13,1,2.00E-13
optimal,303.9091694,0.035,4049.404807,1,0.034598039,1.00E-11,0,9.00E-11,0.032995158,-6.24E-10,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad20p9\Looping_Gas_evLoad0p0_pctEVLoad20p9_20220317-235855.xlsx,1,1.00E-11,9.00E-11,4.72E-06,0,1.332711013,0.99999526,0.120154076,0,0.272143623,0,2.22E-09,1.00E-11,0,2.00E-08,2.00E-08,0,0,0,0,0,1.99E-08,0.332715753,2.00E-11,1,2.00E-11
optimal,303.9091749,0.035,4049.404887,1,0.034598039,1.00E-10,0,1.00E-16,0.032995158,6.94E-18,Mike_EV\Looping_Gas_evLoad0p0_pctEVLoad21e-06\Looping_Gas_evLoad0p0_pctEVLoad21e-06_20220317-233123.xlsx,1,1.00E-10,1.00E-16,4.72E-06,0,1.332711033,0.99999528,0.120154076,0,0.272143623,0,2.22E-08,1.00E-10,0,2.22E-14,0,0,0,0,0,0,0,0.332715753,2.00E-10,1,2.00E-10
optimal,312.5189087,0.036,4503.1431,1,0.032446836,0.09,0.033732387,0.01,0.033732385,-0.000241875,Mike_EV\Looping_Gas_evLoad0p1_pctEVLoad20p1\Looping_Gas_evLoad0p1_pctEVLoad20p1_20220318-000754.xlsx,1,0.09,0.01,0,0,1.202523727,1.112045343,0.120154076,0,0.272143623,0,20.0115,0.09,1.637732748,2.2235,0.018195655,0.486570844,0,0,0,0.141757535,0.008195655,0.090478384,0.18,1.18,0.152542373
optimal,312.5189087,0.036,4503.1431,1,0.032446836,0.08,0.033732387,0.02,0.033732385,-0.000241875,Mike_EV\Looping_Gas_evLoad0p1_pctEVLoad20p2\Looping_Gas_evLoad0p1_pctEVLoad20p2_20220318-001105.xlsx,1,0.08,0.02,0,0,1.202523727,1.112045343,0.120154076,0,0.272143623,0,17.788,0.08,1.281969784,4.447,0.028195655,0.842333808,0,0,0,0.141757535,0.008195655,0.090478384,0.16,1.16,0.137931034
optimal,312.5189086,0.036,4503.1431,1,0.032446836,0.07,0.033732387,0.03,0.033732385,-0.000241875,Mike_EV\Looping_Gas_evLoad0p1_pctEVLoad20p3\Looping_Gas_evLoad0p1_pctEVLoad20p3_20220318-001402.xlsx,1,0.07,0.03,0,0,1.202523727,1.112045343,0.120154076,0,0.272143623,0,15.5645,0.07,1.010963661,6.6705,0.038195655,1.113339931,0,0,0,0.141757535,0.008195655,0.090478384,0.14,1.14,0.122807018
optimal,312.5189085,0.036,4503.1431,1,0.032446836,0.06,0.033732387,0.04,0.033732385,-0.000241875,Mike_EV\Looping_Gas_evLoad0p1_pctEVLoad20p4\Looping_Gas_evLoad0p1_pctEVLoad20p4_20220318-001700.xlsx,1,0.06,0.04,0,0,1.202523727,1.112045343,0.120154076,0,0.272143623,0,13.341,0.06,0.778068863,8.894,0.048195655,1.346234729,0,0,0,0.141757535,0.008195655,0.090478384,0.12,1.12,0.107142857
optimal,312.5189084,0.036,4503.1431,1,0.032446836,0.05,0.033732387,0.05,0.033732385,-0.000241875,Mike_EV\Looping_Gas_evLoad0p1_pctEVLoad20p5\Looping_Gas_evLoad0p1_pctEVLoad20p5_20220318-001945.xlsx,1,0.05,0.05,0,0,1.202523727,1.112045343,0.120154076,0,0.272143623,0,11.1175,0.05,0.577650135,11.1175,0.058195655,1.546653456,0,0,0,0.141757535,0.008195655,0.090478384,0.1,1.1,0.090909091
